neighbourhood;street
Antakalnis;Ajerų g. (28)
Antakalnis;Algirdo Juliaus Greimo g. (17)
Antakalnis;Anapilio g. (48)
Antakalnis;Antakalnio g. (147)
Antakalnis;Antano Škėmos g. (12)
Antakalnis;Antavilių g. (22)
Antakalnis;Antavilių Sodų 1-oji g. (8)
Antakalnis;Antavilių Sodų 10-oji g. (22)
Antakalnis;Antavilių Sodų 11-oji g. (6)
Antakalnis;Antavilių Sodų 12-oji g. (5)
Antakalnis;Antavilių Sodų 2-oji g. (3)
Antakalnis;Antavilių Sodų 3-ioji g. (16)
Antakalnis;Antavilių Sodų 4-oji g. (16)
Antakalnis;Antavilių Sodų 5-oji g. (6)
Antakalnis;Antavilių Sodų 6-oji g. (16)
Antakalnis;Antavilių Sodų 7-oji g. (16)
Antakalnis;Antavilių Sodų 8-oji g. (12)
Antakalnis;Antavilių Sodų 9-oji g. (8)
Antakalnis;Apuolės g. (22)
Antakalnis;Asiūklių g. (25)
Antakalnis;Aukštagirio g. (40)
Antakalnis;B. Sruogos g. (55)
Antakalnis;Balžio g. (39)
Antakalnis;Barsukynės g. (87)
Antakalnis;Birutės Marijos Gimbutienės g. (12)
Antakalnis;Bistryčios g. (43)
Antakalnis;Bruknių g.
Antakalnis;Centrinė g. (10)
Antakalnis;Česlovo Kudabos g. (21)
Antakalnis;Debesijos g. (10)
Antakalnis;Duburio g. (19)
Antakalnis;Dvarčionių g. (35)
Antakalnis;Dvarčionių Sodų 1-oji g. (21)
Antakalnis;Dvarčionių Sodų 2-oji g. (14)
Antakalnis;Dvarčionių Sodų 3-ioji g. (29)
Antakalnis;Elniakampio g. (13)
Antakalnis;Ežerėlių g. (3)
Antakalnis;Filaretų g. (9 iš 112*)
Antakalnis;Fulgento Rimgailos g. (7)
Antakalnis;Gaidžių g. (7)
Antakalnis;Gaigalų g. (6)
Antakalnis;Gailestingųjų Seserų g. (10)
Antakalnis;Gailių g. (61)
Antakalnis;Galgių g.
Antakalnis;Garšvų g. (12)
Antakalnis;Gelvadiškių g. (50)
Antakalnis;Gelvadiškių Sodų 1-oji g. (27)
Antakalnis;Gelvadiškių Sodų 2-oji g. (34)
Antakalnis;Gelvadiškių Sodų 3-ioji g. (15)
Antakalnis;Gelvadiškių Sodų 4-oji g. (12)
Antakalnis;Gelvadiškių Sodų 5-oji g. (40)
Antakalnis;Gelvadiškių Sodų 6-oji g. (14)
Antakalnis;Giedros g. (42)
Antakalnis;Girinaičių g. (36)
Antakalnis;Girininkijos g. (26)
Antakalnis;Gražinos g. (22)
Antakalnis;Grybautojų g. (20)
Antakalnis;Gubojų g. (28)
Antakalnis;Gvazdikų g. (101)
Antakalnis;Gvazdikų Sodų g. (18)
Antakalnis;Gvazdikų Sodų 1-oji g. (77)
Antakalnis;Gvazdikų Sodų 10-oji g. (27)
Antakalnis;Gvazdikų Sodų 11-oji g. (15)
Antakalnis;Gvazdikų Sodų 12-oji g. (16)
Antakalnis;Gvazdikų Sodų 13-oji g. (7)
Antakalnis;Gvazdikų Sodų 14-oji g. (15)
Antakalnis;Gvazdikų Sodų 15-oji g. (5)
Antakalnis;Gvazdikų Sodų 16-oji g. (15)
Antakalnis;Gvazdikų Sodų 2-oji g. (38)
Antakalnis;Gvazdikų Sodų 3-ioji g. (24)
Antakalnis;Gvazdikų Sodų 4-oji g. (18)
Antakalnis;Gvazdikų Sodų 5-oji g. (19)
Antakalnis;Gvazdikų Sodų 6-oji g. (56)
Antakalnis;Gvazdikų Sodų 7-oji g. (14)
Antakalnis;Gvazdikų Sodų 8-oji g. (21)
Antakalnis;Gvazdikų Sodų 9-oji g. (11)
Antakalnis;Igno Domeikos g. (30)
Antakalnis;J. Biliūno g. (43)
Antakalnis;J. Čerskio g. (13)
Antakalnis;J. Pabrėžos g. (8)
Antakalnis;Jono Pauliaus II a.
Antakalnis;Juodvarnių g. (38)
Antakalnis;Juodvarnių Sodų g. (5)
Antakalnis;Juodvarnių Sodų 1-oji g. (6)
Antakalnis;Juodvarnių Sodų 10-oji g. (15)
Antakalnis;Juodvarnių Sodų 11-oji g. (6)
Antakalnis;Juodvarnių Sodų 12-oji g. (13)
Antakalnis;Juodvarnių Sodų 13-oji g. (5)
Antakalnis;Juodvarnių Sodų 14-oji g. (19)
Antakalnis;Juodvarnių Sodų 15-oji g. (19)
Antakalnis;Juodvarnių Sodų 16-oji g. (26)
Antakalnis;Juodvarnių Sodų 17-oji g. (25)
Antakalnis;Juodvarnių Sodų 18-oji g. (24)
Antakalnis;Juodvarnių Sodų 19-oji g. (32)
Antakalnis;Juodvarnių Sodų 2-oji g. (7)
Antakalnis;Juodvarnių Sodų 20-oji g. (16)
Antakalnis;Juodvarnių Sodų 21-oji g. (10)
Antakalnis;Juodvarnių Sodų 22-oji g. (7)
Antakalnis;Juodvarnių Sodų 23-ioji g. (10)
Antakalnis;Juodvarnių Sodų 24-oji g. (36)
Antakalnis;Juodvarnių Sodų 25-oji g. (29)
Antakalnis;Juodvarnių Sodų 26-oji g. (51)
Antakalnis;Juodvarnių Sodų 27-oji g. (18)
Antakalnis;Juodvarnių Sodų 28-oji g. (10)
Antakalnis;Juodvarnių Sodų 3-ioji g. (5)
Antakalnis;Juodvarnių Sodų 4-oji g. (6)
Antakalnis;Juodvarnių Sodų 5-oji g. (9)
Antakalnis;Juodvarnių Sodų 6-oji g. (9)
Antakalnis;Juodvarnių Sodų 7-oji g. (9)
Antakalnis;Juodvarnių Sodų 8-oji g. (8)
Antakalnis;Juodvarnių Sodų 9-oji g. (18)
Antakalnis;Jūratės g. (38)
Antakalnis;K. Būgos g.
Antakalnis;K. Jauniaus g. (1)
Antakalnis;K. Semenavičiaus g. (25)
Antakalnis;Kairėnės g. (19)
Antakalnis;Kairėnės Sodų g. (25)
Antakalnis;Kairėnės Sodų 1-oji g. (17)
Antakalnis;Kairėnės Sodų 2-oji g. (50)
Antakalnis;Kairėnės Sodų 3-ioji g. (22)
Antakalnis;Kairėnės Sodų 4-oji g. (7)
Antakalnis;Kairėnų g. (30)
Antakalnis;Kalno g. (35 iš 96*)
Antakalnis;Kalvos g. (1 iš 9*)
Antakalnis;Kalvų Sodų 1-oji g. (20)
Antakalnis;Kalvų Sodų 2-oji g. (16)
Antakalnis;Kalvų Sodų 3-ioji g. (13)
Antakalnis;Kalvų Sodų 4-oji g. (45)
Antakalnis;Kanklių g. (16)
Antakalnis;Karačiūnų g. (91)
Antakalnis;Karačiūnų Sodų 1-oji g. (15)
Antakalnis;Karačiūnų Sodų 10-oji g. (7)
Antakalnis;Karačiūnų Sodų 11-oji g. (4)
Antakalnis;Karačiūnų Sodų 12-oji g. (12)
Antakalnis;Karačiūnų Sodų 13-oji g. (6)
Antakalnis;Karačiūnų Sodų 2-oji g. (6)
Antakalnis;Karačiūnų Sodų 3-ioji g. (9)
Antakalnis;Karačiūnų Sodų 4-oji g. (27)
Antakalnis;Karačiūnų Sodų 5-oji g. (9)
Antakalnis;Karačiūnų Sodų 6-oji g. (7)
Antakalnis;Karačiūnų Sodų 7-oji g. (2)
Antakalnis;Karačiūnų Sodų 8-oji g. (10)
Antakalnis;Karačiūnų Sodų 9-oji g. (12)
Antakalnis;Karių Kapų g. (27)
Antakalnis;Keramikų g. (60)
Antakalnis;Kiškeliškių g. (3)
Antakalnis;Kiškių g. (10)
Antakalnis;Klinikų g. (8)
Antakalnis;Koklių g. (21)
Antakalnis;Konservatorijos Sodų 1-oji g. (17)
Antakalnis;Konservatorijos Sodų 2-oji g. (21)
Antakalnis;Konservatorijos Sodų 3-ioji g. (26)
Antakalnis;Konservatorijos Sodų 4-oji g. (4)
Antakalnis;Kopūstų g. (13)
Antakalnis;Kregždžių g. (28)
Antakalnis;Kuosų g. (14)
Antakalnis;L. Karsavino g. (19)
Antakalnis;L. Sapiegos g. (19)
Antakalnis;Lakštingalos Sodų g. (7)
Antakalnis;Lakštingalos Sodų 1-oji g. (5)
Antakalnis;Lakštingalos Sodų 2-oji g. (2)
Antakalnis;Lakštingalos Sodų 3-ioji g. (7)
Antakalnis;Lakštingalos Sodų 4-oji g. (6)
Antakalnis;Lakštingalos Sodų 5-oji g. (10)
Antakalnis;Lakštingalos Sodų 6-oji g. (5)
Antakalnis;Lakštingalų g. (21)
Antakalnis;Latežerio g. (6)
Antakalnis;Lauksargio g. (65)
Antakalnis;Laumžirgių g. (12)
Antakalnis;Laurų g. (70)
Antakalnis;Laurų Sodų 1-oji g. (47)
Antakalnis;Laurų Sodų 2-oji g. (12)
Antakalnis;Laurų Sodų 3-ioji g. (29)
Antakalnis;Laurų Sodų 4-oji g. (57)
Antakalnis;Laurų Sodų 5-oji g. (21)
Antakalnis;Laurų Sodų 6-oji g. (22)
Antakalnis;Laurų Sodų 7-oji g. (27)
Antakalnis;Laurų Sodų 8-oji g. (12)
Antakalnis;Laurų Sodų 9-oji g. (20)
Antakalnis;Lazdynų Pelėdos g. (13)
Antakalnis;Lentupio g. (14)
Antakalnis;Lietaviškių g. (57)
Antakalnis;Lingių g. (1)
Antakalnis;Lizdeikos g. (19)
Antakalnis;Ližiškių g. (21)
Antakalnis;Lubinų g. (25)
Antakalnis;M. Girdvainio g. (39)
Antakalnis;M. K. Oginskio g. (30)
Antakalnis;M. K. Paco g. (21)
Antakalnis;M. Počobuto g. (14)
Antakalnis;M. Rėmerio g. (14)
Antakalnis;Maudyklos g. (6)
Antakalnis;Medžiotojų g. (50)
Antakalnis;Meiriškių g. (23)
Antakalnis;Meldų g. (14)
Antakalnis;Mėlynių g. (12)
Antakalnis;Meškeriotojų g. (49)
Antakalnis;Mėtų g. (4)
Antakalnis;Mikalojaus Husoviano g. (20)
Antakalnis;Mildos g. (41)
Antakalnis;Mileišiškių g. (61)
Antakalnis;Mileišiškių Sodų g. (47)
Antakalnis;Mileišiškių Sodų 1-oji g. (38)
Antakalnis;Mileišiškių Sodų 10-oji g. (15)
Antakalnis;Mileišiškių Sodų 11-oji g. (24)
Antakalnis;Mileišiškių Sodų 12-oji g. (19)
Antakalnis;Mileišiškių Sodų 13-oji g. (15)
Antakalnis;Mileišiškių Sodų 14-oji g. (10)
Antakalnis;Mileišiškių Sodų 2-oji g. (37)
Antakalnis;Mileišiškių Sodų 3-ioji g. (16)
Antakalnis;Mileišiškių Sodų 4-oji g. (27)
Antakalnis;Mileišiškių Sodų 5-oji g. (14)
Antakalnis;Mileišiškių Sodų 6-oji g. (12)
Antakalnis;Mileišiškių Sodų 7-oji g. (9)
Antakalnis;Mileišiškių Sodų 8-oji g. (24)
Antakalnis;Mileišiškių Sodų 9-oji g. (5)
Antakalnis;Miškadvario g. (24)
Antakalnis;Miškininkų g. (10)
Antakalnis;Moliakalnio g. (88)
Antakalnis;Nakvišų g. (16)
Antakalnis;Naujakurių g. (45)
Antakalnis;Nemenčinės pl. (160)
Antakalnis;Nugalėtojų g. (94)
Antakalnis;O. Milašiaus g. (7)
Antakalnis;Olandų g. (12 iš 41*)
Antakalnis;P. Vileišio g. (50)
Antakalnis;Paliuliškių g. (15)
Antakalnis;Pasakų g. (15)
Antakalnis;Pauliaus Širvio g. (5)
Antakalnis;Pavasario g. (40)
Antakalnis;Pečiukų g. (3)
Antakalnis;Pelynų g. (8)
Antakalnis;Petro Rimšos g. (26)
Antakalnis;Pienių g. (16)
Antakalnis;Pylimėlių g. (69)
Antakalnis;Plytinės g. (37)
Antakalnis;Plukių g. (14)
Antakalnis;Povilo Snarskio g. (11)
Antakalnis;Pragiedrulių g. (25)
Antakalnis;Pragiedrulių Sodų 1-oji g. (14)
Antakalnis;Pragiedrulių Sodų 2-oji g. (4)
Antakalnis;Pragiedrulių Sodų 3-ioji g. (7)
Antakalnis;Pragiedrulių Sodų 4-oji g. (7)
Antakalnis;Pragiedrulių Sodų 5-oji g. (18)
Antakalnis;Pragiedrulių Sodų 6-oji g. (23)
Antakalnis;Pragiedrulių Sodų 7-oji g. (30)
Antakalnis;Prano Morkūno g. (12)
Antakalnis;Puodžių g. (1)
Antakalnis;Pupojų g. (43)
Antakalnis;Pupojų Sodų g. (6)
Antakalnis;Pupojų Sodų 1-oji g. (24)
Antakalnis;Pupojų Sodų 10-oji g. (14)
Antakalnis;Pupojų Sodų 11-oji g. (7)
Antakalnis;Pupojų Sodų 12-oji g. (14)
Antakalnis;Pupojų Sodų 13-oji g. (10)
Antakalnis;Pupojų Sodų 14-oji g. (9)
Antakalnis;Pupojų Sodų 15-oji g. (16)
Antakalnis;Pupojų Sodų 16-oji g. (21)
Antakalnis;Pupojų Sodų 2-oji g. (33)
Antakalnis;Pupojų Sodų 3-ioji g. (39)
Antakalnis;Pupojų Sodų 4-oji g. (32)
Antakalnis;Pupojų Sodų 5-oji g. (34)
Antakalnis;Pupojų Sodų 6-oji g. (34)
Antakalnis;Pupojų Sodų 7-oji g. (21)
Antakalnis;Pupojų Sodų 8-oji g. (19)
Antakalnis;Pupojų Sodų 9-oji g. (6)
Antakalnis;Pupų g. (124)
Antakalnis;Purienų g. (14)
Antakalnis;Rasakilų g. (5)
Antakalnis;Rato g. (26)
Antakalnis;Rokantiškių g. (53 iš 82*)
Antakalnis;Rokantiškių Sodų g. (11)
Antakalnis;Rokantiškių Sodų 1-oji g. (9)
Antakalnis;Rokantiškių Sodų 10-oji g. (27)
Antakalnis;Rokantiškių Sodų 11-oji g. (28)
Antakalnis;Rokantiškių Sodų 12-oji g. (18)
Antakalnis;Rokantiškių Sodų 13-oji g. (12)
Antakalnis;Rokantiškių Sodų 14-oji g. (9)
Antakalnis;Rokantiškių Sodų 15-oji g. (12)
Antakalnis;Rokantiškių Sodų 16-oji g. (15)
Antakalnis;Rokantiškių Sodų 17-oji g. (15)
Antakalnis;Rokantiškių Sodų 2-oji g. (21)
Antakalnis;Rokantiškių Sodų 3-ioji g. (19)
Antakalnis;Rokantiškių Sodų 4-oji g. (20)
Antakalnis;Rokantiškių Sodų 5-oji g. (15)
Antakalnis;Rokantiškių Sodų 6-oji g. (14)
Antakalnis;Rokantiškių Sodų 7-oji g. (15)
Antakalnis;Rokantiškių Sodų 8-oji g. (35)
Antakalnis;Rokantiškių Sodų 9-oji g. (31)
Antakalnis;Rudausių g. (27)
Antakalnis;Rudausių Sodų 1-oji g. (9)
Antakalnis;Rudausių Sodų 10-oji g. (17)
Antakalnis;Rudausių Sodų 11-oji g. (16)
Antakalnis;Rudausių Sodų 12-oji g. (10)
Antakalnis;Rudausių Sodų 13-oji g. (12)
Antakalnis;Rudausių Sodų 2-oji g. (6)
Antakalnis;Rudausių Sodų 3-ioji g. (14)
Antakalnis;Rudausių Sodų 4-oji g. (16)
Antakalnis;Rudausių Sodų 5-oji g. (30)
Antakalnis;Rudausių Sodų 6-oji g. (17)
Antakalnis;Rudausių Sodų 7-oji g. (23)
Antakalnis;Rudausių Sodų 8-oji g. (18)
Antakalnis;Rudausių Sodų 9-oji g. (9)
Antakalnis;Rudens g. (35 iš 66*)
Antakalnis;Rukeliškių g. (39)
Antakalnis;Rūtų g. (25)
Antakalnis;S. B. Jundzilo g. (60)
Antakalnis;Sadūniškių g. (70)
Antakalnis;Samanų g. (15)
Antakalnis;Saulės g. (46)
Antakalnis;Saulėtekio al. (73)
Antakalnis;Skaisterių g. (29)
Antakalnis;Skarbelio g. (10)
Antakalnis;Skarbelio Sodų 1-oji g. (17)
Antakalnis;Skarbelio Sodų 2-oji g. (13)
Antakalnis;Skarbelio Sodų 3-ioji g. (5)
Antakalnis;Smėlynės Sodų g. (40)
Antakalnis;Smėlynės Sodų 1-oji g. (21)
Antakalnis;Smėlynės Sodų 2-oji g. (4)
Antakalnis;Smėlynės Sodų 3-ioji g. (16)
Antakalnis;Smėlynės Sodų 4-oji g. (22)
Antakalnis;Smėlynės Sodų 5-oji g. (16)
Antakalnis;Smėlio g. (30)
Antakalnis;Smilgų g. (21)
Antakalnis;Sokiškių g. (17)
Antakalnis;Stanislovo Kerbedžio g. (13)
Antakalnis;Stepono Kairio g. (30)
Antakalnis;Svajonių g. (25)
Antakalnis;Šalpusnių g. (12)
Antakalnis;Šatrijos Raganos g. (72)
Antakalnis;Šilagėlių g. (22)
Antakalnis;Šilėnų g. (67)
Antakalnis;Šilėnų Sodų 1-oji g. (2)
Antakalnis;Šilėnų Sodų 2-oji g. (6)
Antakalnis;Šilėnų Sodų 3-ioji g. (11)
Antakalnis;Šilėnų Sodų 4-oji g. (7)
Antakalnis;Šilėnų Sodų 5-oji g. (6)
Antakalnis;Šilėnų Sodų 6-oji g. (16)
Antakalnis;Šilėnų Sodų 7-oji g. (16)
Antakalnis;Šilėnų Sodų 8-oji g. (24)
Antakalnis;Šilėnų Sodų 9-oji g. (14)
Antakalnis;Šilo g. (61)
Antakalnis;Šlamučių g. (19)
Antakalnis;Švyturio g. (24)
Antakalnis;T. Ivanausko g. (4)
Antakalnis;Talkos Sodų 1-oji g. (22)
Antakalnis;Talkos Sodų 2-oji g. (23)
Antakalnis;Talkos Sodų 3-ioji g. (14)
Antakalnis;Talkos Sodų 4-oji g. (13)
Antakalnis;Taurijos g. (45)
Antakalnis;Tramvajų g. (14)
Antakalnis;Turniškių g. (56)
Antakalnis;Turniškių Sodų g. (41)
Antakalnis;Tverečiaus g. (20)
Antakalnis;V. Grybo g. (33)
Antakalnis;V. Sezemano g. (6)
Antakalnis;Vaidilutės g. (37)
Antakalnis;Valakupių g. (29)
Antakalnis;Vanagų g. (9)
Antakalnis;Vasaros g. (28)
Antakalnis;Vėdrynų g. (3)
Antakalnis;Veržuvos g. (25)
Antakalnis;Veržuvos Sodų g. (20)
Antakalnis;Viksvų g. (5)
Antakalnis;Vikučionių g. (12)
Antakalnis;Vinciūniškių g. (24)
Antakalnis;Vinciūniškių Sodų 1-oji g. (27)
Antakalnis;Vinciūniškių Sodų 10-oji g. (12)
Antakalnis;Vinciūniškių Sodų 11-oji g. (18)
Antakalnis;Vinciūniškių Sodų 12-oji g. (17)
Antakalnis;Vinciūniškių Sodų 13-oji g. (13)
Antakalnis;Vinciūniškių Sodų 14-oji g. (14)
Antakalnis;Vinciūniškių Sodų 15-oji g. (15)
Antakalnis;Vinciūniškių Sodų 16-oji g. (13)
Antakalnis;Vinciūniškių Sodų 17-oji g. (7)
Antakalnis;Vinciūniškių Sodų 18-oji g. (8)
Antakalnis;Vinciūniškių Sodų 19-oji g. (11)
Antakalnis;Vinciūniškių Sodų 2-oji g. (17)
Antakalnis;Vinciūniškių Sodų 20-oji g. (10)
Antakalnis;Vinciūniškių Sodų 21-oji g. (10)
Antakalnis;Vinciūniškių Sodų 22-oji g. (7)
Antakalnis;Vinciūniškių Sodų 23-ioji g. (7)
Antakalnis;Vinciūniškių Sodų 24-oji g. (2)
Antakalnis;Vinciūniškių Sodų 3-ioji g. (15)
Antakalnis;Vinciūniškių Sodų 4-oji g. (9)
Antakalnis;Vinciūniškių Sodų 5-oji g. (20)
Antakalnis;Vinciūniškių Sodų 6-oji g. (15)
Antakalnis;Vinciūniškių Sodų 7-oji g. (15)
Antakalnis;Vinciūniškių Sodų 8-oji g. (21)
Antakalnis;Vinciūniškių Sodų 9-oji g. (19)
Antakalnis;Vyrių Sodų 1-oji g. (24)
Antakalnis;Vyrių Sodų 2-oji g. (10)
Antakalnis;Vyrių Sodų 3-ioji g. (7)
Antakalnis;Viršupio g. (42 iš 44*)
Antakalnis;Viršupio Sodų g. (25)
Antakalnis;Viršupio Sodų 1-oji g. (26)
Antakalnis;Viršupio Sodų 10-oji g. (16)
Antakalnis;Viršupio Sodų 11-oji g. (11)
Antakalnis;Viršupio Sodų 12-oji g. (36)
Antakalnis;Viršupio Sodų 13-oji g. (26)
Antakalnis;Viršupio Sodų 14-oji g. (25)
Antakalnis;Viršupio Sodų 15-oji g. (7)
Antakalnis;Viršupio Sodų 16-oji g. (13)
Antakalnis;Viršupio Sodų 17-oji g. (14)
Antakalnis;Viršupio Sodų 18-oji g. (15)
Antakalnis;Viršupio Sodų 19-oji g. (3)
Antakalnis;Viršupio Sodų 2-oji g. (26)
Antakalnis;Viršupio Sodų 20-oji g. (10)
Antakalnis;Viršupio Sodų 21-oji g. (11)
Antakalnis;Viršupio Sodų 22-oji g. (8)
Antakalnis;Viršupio Sodų 23-ioji g. (6)
Antakalnis;Viršupio Sodų 3-ioji g. (39)
Antakalnis;Viršupio Sodų 4-oji g. (39)
Antakalnis;Viršupio Sodų 5-oji g. (24)
Antakalnis;Viršupio Sodų 6-oji g. (10)
Antakalnis;Viršupio Sodų 7-oji g. (7)
Antakalnis;Viršupio Sodų 8-oji g. (11)
Antakalnis;Viršupio Sodų 9-oji g. (34)
Antakalnis;Vismaliukų g. (94)
Antakalnis;Vismaliukų Sodų 1-oji g. (32)
Antakalnis;Vismaliukų Sodų 2-oji g. (25)
Antakalnis;Vismaliukų Sodų 3-ioji g. (24)
Antakalnis;Vismaliukų Sodų 4-oji g. (5)
Antakalnis;Vismaliukų Sodų 5-oji g. (19)
Antakalnis;Vismaliukų Sodų 6-oji g. (27)
Antakalnis;Vytauto Žalakevičiaus g. (31)
Antakalnis;Volungės g. (15)
Antakalnis;Žirgo g. (133)
Antakalnis;Žirgo Sodų 1-oji g. (17)
Antakalnis;Žirgo Sodų 2-oji g. (16)
Antakalnis;Žirgo Sodų 3-ioji g. (17)
Antakalnis;Žirgo Sodų 4-oji g. (6)
Antakalnis;Žirgo Sodų 5-oji g. (8)
Antakalnis;Žolyno g. (65)
Antakalnis;Žuvėdrų g. (60)
Antakalnis;Žvaigždikių g. (54)
Justiniškės;Ežeraičio g. (21)
Justiniškės;Helsinkio g.
