Laikotarpis;Rodiklis;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2016;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;29
2016;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;27
2016;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;27
2016;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;28
2016;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;32
2012;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;29
2012;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;27
2012;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;27
2012;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;27
2012;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;32
2008;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;23
2008;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;23
2008;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;23
2008;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;22
2008;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
2007;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;24
2007;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;23
2007;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;22
2007;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;24
2007;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;27
2006;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;23
2006;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;22
2006;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;21
2006;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;23
2006;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;26
2005;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;24
2005;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;23
2005;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;22
2005;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;24
2005;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;26
2004;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;22
2004;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;20
2004;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;20
2004;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;21
2004;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;27
2003;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;22
2003;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;21
2003;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;20
2003;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;22
2003;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
2002;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;21
2002;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;20
2002;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;20
2002;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;21
2002;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
2001;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;22
2001;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;20
2001;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;20
2001;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;21
2001;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;26
2000;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;22
2000;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;20
2000;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;20
2000;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;21
2000;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;26
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;21
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;20
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;19
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;21
1999;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;21
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;20
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;19
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;21
1998;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;21
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;19
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;19
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;20
1997;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas ir kaimas;m²;20
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Miestas;m²;19
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Didieji miestai;m²;18
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kiti miestai;m²;20
1996;Gyvenamosios patalpos plotas, tenkantis vienam namų ūkio nariui;Kaimas;m²;24