Country;Life expectancy
Monaco;89.4
San Marino;83.4
  Switzerland;83.0
 Spain;82.8
 Liechtenstein;82.7
 Italy;82.5
 Norway;82.5
 Iceland;82.5
 Luxembourg;82.3
 France;82.3
 Sweden;82.2
 Malta;81.8
 Finland;81.8
 Ireland;81.6
 Netherlands;81.5
 Portugal;81.1
 Greece;81.0
 United Kingdom;81.0
 Belgium;81.0
 Austria;80.9
 Slovenia;80.8
 Denmark;80.7
 Germany;80.6
 Cyprus;80.5
 Albania;78.3
 Czech Republic;78.3
 Croatia;78.0
 Estonia;77.7
 Poland;77.5
 Montenegro;77.1
 Bosnia and Herzegovina;76.9
 Slovakia;76.6
 Turkey;75.8
 North Macedonia;75.7
 Hungary;75.6
 Serbia;75.2
 Romania;75.0
 Bulgaria;74.6
 Latvia;74.5
 Lithuania;74.3
 Belarus;73.8
 Kazakhstan;72.3
 Moldova;71.6
 Russia;71.6
 Ukraine;71.5